update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec,active_steps_jb0,active_steps_jb1,max_goal_distance,rolling_success_rate,talk_rate,gate_loss
32,-9.913480282524125,1.2401459691784111,3,2,4,38.25981903076172,-0.07357488572597504,1287.906625509262,181,72,1.5,0.371,0.47,-0.076
33,-0.053146232185021604,3.8547132156799186,7,7,7,57.444541931152344,-0.09029655158519745,44.861552476882935,115,186,1.5,0.5,0.4725,-0.0719
34,-9.410430262903532,1.8587910060356618,2,1,3,14.544179916381836,-0.08833605796098709,83.97768783569336,153,183,1.5,0.4444,0.435,-0.072
35,-9.568479615746936,-8.516891886845414,3,1,6,37.96315383911133,-0.08071290701627731,123.37103509902954,101,156,1.5,0.375,0.4675,-0.0697
36,2.3832185153252228,5.750437014201907,3,3,3,33.509864807128906,-0.07266531884670258,162.66073775291443,154,125,1.5,0.4,0.48,-0.0713
37,-2.7887506696533144,1.8510339736664598,3,2,3,24.191511154174805,-0.08786823600530624,203.09933137893677,141,114,1.5,0.3889,0.5025,-0.0698
38,-10.105168755530498,11.8260491543781,1,1,1,6.5039472579956055,-0.08403880894184113,241.7049572467804,200,153,1.5,0.3947,0.5175,-0.0706
39,-2.665169426305433,-2.837764230701897,3,2,4,27.740468978881836,-0.07119274139404297,281.27185678482056,128,145,1.5,0.3864,0.5125,-0.0697
40,-6.201169679216012,-2.276777713904391,6,3,9,35.6219482421875,0.005072832107543945,323.17768025398254,81,148,1.5,0.3571,0.5275,-0.0709
41,1.893243007947535,1.8086466429038772,2,2,2,24.23385238647461,-0.0880182683467865,363.0081081390381,181,104,1.5,0.3667,0.5,-0.0695
42,15.26561117348069,-10.0,1,2,1,26.517192840576172,-0.08014935255050659,402.1018064022064,200,23,1.5,0.3871,0.5475,-0.0704
43,9.90507784395158,-3.7478754043213187,5,5,3,72.52830505371094,-0.09010657668113708,443.6673204898834,190,68,1.5,0.3793,0.5025,-0.0719
44,3.236231050525447,4.4429456136956,5,6,5,42.363555908203125,-0.06669996678829193,484.5258197784424,172,140,1.5,0.4219,0.4975,-0.0734
45,-7.2899055740385705,-4.384970579518578,4,1,7,33.870750427246094,-0.07911725342273712,524.9930551052094,106,200,1.5,0.4091,0.4975,-0.0708
46,6.572419084267222,-0.3336193437568973,5,5,5,55.94628143310547,-0.07881531864404678,566.9156107902527,99,180,1.5,0.4143,0.52,-0.0713
47,0.3648815932083795,2.5651858095911972,6,5,6,49.194339752197266,-0.07633105665445328,606.8403720855713,141,175,1.5,0.4211,0.4675,-0.0706
48,-3.1381189087237598,2.22366098185005,4,3,6,37.572879791259766,-0.05694390460848808,649.6488478183746,63,192,1.5,0.4146,0.505,-0.072
