update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec,active_steps_jb0,active_steps_jb1
67,-10.778507144180361,-7.008248467649711,3,0,6,7.9970293045043945,-0.0904560461640358,4807.221007347107,180,95
68,-10.241644930260437,-7.5260010392336785,4,0,8,8.487751007080078,-0.10555852949619293,4880.273953437805,196,81
69,-3.250815236254143,-7.538708118136943,3,1,4,11.214911460876465,-0.0954311192035675,4953.513187408447,109,199
70,-11.988961321752495,-8.931087056974635,2,0,5,8.354705810546875,-0.1031256765127182,5025.656585216522,109,136
71,0.32344005315475793,-6.969418739120798,3,1,4,28.301177978515625,-0.0867115706205368,5097.990304708481,110,187
72,-10.396880203949774,-7.620895382006832,4,0,8,7.841103553771973,-0.10147207975387573,5170.260275602341,170,127
73,-11.397258478413672,0.0,1,1,1,52.08741760253906,-0.11516298353672028,5242.103904247284,200,54
74,-12.002015638559529,0.0,1,0,2,11.930224418640137,-0.13808466494083405,5313.909341573715,200,11
75,-9.244387475324675,-5.008392102959046,2,1,3,27.264015197753906,-0.09431914240121841,5386.543481826782,200,118
76,-10.677457429874861,0.0,1,1,1,71.53713989257812,-0.11849650740623474,5460.6018698215485,200,36
77,-9.912661706934733,1.6067095266266687,3,1,5,18.99390411376953,-0.09693250060081482,5533.260056257248,136,198
78,-8.766884262370978,0.0,1,0,1,14.346168518066406,-0.1469261646270752,5604.801924467087,200,12
79,-4.342160035202717,-8.075712199417154,4,1,6,24.90713882446289,-0.09119708836078644,5677.314303398132,145,149
80,12.214606691635312,-10.875636652350872,1,1,2,21.340559005737305,-0.11876431107521057,5749.501765966415,132,137
81,-7.8200068895441674,-4.382906352823215,4,1,7,29.763017654418945,-0.08946704864501953,5822.602621555328,168,98
82,-10.228133293474903,-8.311412238533546,3,0,6,11.985306739807129,-0.10942009091377258,5895.3300344944,111,136
83,5.376183716610699,-9.743509954041341,2,1,2,19.100303649902344,-0.08806464821100235,5968.536420106888,132,200
84,-9.344347441938499,-11.271993959333217,3,0,7,11.330098152160645,-0.12530170381069183,6041.064753770828,97,176
85,-4.907580580058429,-1.2073868581627902,2,1,3,10.120134353637695,-0.10964338481426239,6113.694197177887,57,200
86,-5.734290682991641,-10.200084090911592,2,0,3,6.824100494384766,-0.11264891922473907,6186.156440496445,167,153
87,-2.7273838179998076,-10.386366294065224,3,1,5,43.23329544067383,-0.08037488162517548,6258.633506536484,65,200
88,-10.692867451801442,-9.600189079996001,1,0,3,6.456001281738281,-0.09475751221179962,6329.772784948349,110,154
89,-4.3973627821558265,-6.361745216332973,6,2,10,43.3956298828125,-0.0878390371799469,6404.337927818298,132,155
90,-10.104357864631112,-7.38672126546235,4,0,8,11.958930969238281,-0.11335444450378418,6479.570500612259,193,74
91,-9.904251436804936,-6.8117528277175055,3,0,5,10.645248413085938,-0.1039489284157753,6553.643115758896,67,199
92,10.0,-11.781263973935793,1,1,2,35.31733322143555,-0.12243720889091492,6625.725662469864,11,200
93,-4.772524385133155,-5.297384936422002,2,0,2,16.708955764770508,-0.0659819096326828,6698.141567707062,29,200
94,-10.659852766986054,1.5716654495689049,1,0,1,16.455881118774414,-0.14688140153884888,6769.895445108414,23,200
95,-3.39949789511477,-10.325542897808518,3,1,6,24.024921417236328,-0.0984325259923935,6843.372483730316,157,143
96,10.046478382299005,0.0,1,1,1,21.54523468017578,-0.1286800503730774,6915.599385023117,53,195
97,-6.996914253032888,-11.019333226851117,3,0,6,10.607297897338867,-0.11375108361244202,6988.505032300949,97,183
98,-9.08672687909515,-4.913613041426778,2,0,4,9.626407623291016,-0.09448680281639099,7060.293726205826,154,56
99,-10.0,0.0,1,0,2,3.743499755859375,-0.09065084159374237,7132.249835968018,129,199
100,0.0,-1.589634986695036,1,0,1,8.959650993347168,-0.16132530570030212,7204.567363023758,199,26
