update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec,active_steps_jb0,active_steps_jb1,max_goal_distance,rolling_success_rate
153,1.3133618981431883,-3.381034836031893,7,5,9,68.3349838256836,-0.0943775624036789,5926.030571222305,127,151,1.0,0.4521
154,-0.4522040407510941,-1.3157970483551364,8,6,9,66.65534210205078,-0.08644437789916992,6039.088777303696,137,181,1.0,0.4474
155,1.456244185867973,-6.719506414299541,8,6,11,74.48453521728516,-0.0853051170706749,6152.004343509674,148,148,1.0,0.4276
156,-3.696899279983249,-2.1757624499586985,9,5,13,87.46087646484375,-0.10306279361248016,6266.522699832916,123,178,1.0,0.4211
157,5.569815821212828,1.600102754910117,8,9,7,79.10179138183594,-0.09135302901268005,6379.046355009079,177,128,1.0,0.44
158,-2.4105297689145733,-0.48106115605100036,6,4,8,48.53717041015625,-0.09797760844230652,6491.048486709595,160,160,1.0,0.44
159,5.026147874040887,-0.20108388057376084,6,6,6,58.317481994628906,-0.07049966603517532,6603.287300109863,120,158,1.0,0.4392
160,-5.940283884178976,-5.227103548500297,10,3,16,82.02076721191406,-0.09315814822912216,6717.080048561096,131,178,1.0,0.3987
161,1.3644419427199288,1.2487754852139918,6,6,6,64.88423156738281,-0.08982454985380173,6828.774716615677,170,136,1.0,0.3782
162,-6.167126364860138,1.5639506255401372,6,5,8,65.81306457519531,-0.07399339973926544,6940.999850511551,147,184,1.0,0.3716
163,1.3887139278352907,5.267765983142114,9,10,7,85.77698516845703,-0.08480995148420334,7057.120078086853,134,155,1.0,0.3947
164,1.2253161052310244,-1.3209388184082713,8,7,9,72.92887878417969,-0.07247322052717209,7170.35405755043,150,148,1.0,0.4013
165,-1.3318002324808873,-0.7975451835586476,5,5,6,59.692726135253906,-0.09165908396244049,7281.865170955658,175,128,1.0,0.411
166,5.664564901363363,3.44786218320936,6,7,5,55.5975341796875,-0.10293272137641907,7393.741107463837,184,116,1.0,0.4429
167,1.1060168165776065,-0.955471797366271,6,5,7,59.963104248046875,-0.07854676991701126,7506.132354259491,109,182,1.0,0.4265
168,-3.884357132927285,-0.6778755689032627,10,6,14,103.56136322021484,-0.09729655086994171,7619.835698366165,136,162,1.0,0.4167
169,1.0534562553353495,2.9490836891725514,7,8,6,74.81779479980469,-0.07458093017339706,7733.308701992035,124,199,1.0,0.4247
170,-6.884424588822877,-5.674421570927954,5,2,8,69.47932434082031,-0.12763425707817078,7844.83017206192,177,58,1.0,0.4485
171,-6.409480762455625,1.7880003286909059,7,4,10,72.11259460449219,-0.07259082049131393,7958.479235649109,81,172,1.0,0.4275
172,-6.786742989570259,-1.7580340274379043,7,3,10,67.63109588623047,-0.09631302952766418,8070.767317533493,168,98,1.0,0.4071
173,-2.9273857983633875,-2.113835671743598,3,2,5,33.279701232910156,-0.09458151459693909,8181.336003065109,130,146,1.0,0.3828
174,12.403574139883139,5.967705769693043,5,9,1,58.46087646484375,-0.09866627305746078,8292.79401922226,165,121,1.0,0.418
175,0.055924867363202936,-4.50340227365181,7,5,9,82.16012573242188,-0.0905764251947403,8405.755438804626,112,161,1.0,0.4048
176,-0.0030524959410298536,1.5936694858207447,8,7,9,75.24665832519531,-0.08502347767353058,8521.075187921524,113,168,1.0,0.3923
177,-6.889611036907068,1.3878731389786376,9,5,13,80.02719116210938,-0.08807738125324249,8634.023004770279,153,131,1.0,0.375
178,-3.3088149159520106,5.279638848047699,9,9,9,74.65711975097656,-0.0808672308921814,8747.950807332993,141,187,1.0,0.403
179,-6.8813449670092846,5.696520479429392,8,7,9,74.10432434082031,-0.08085545897483826,8861.737451791763,153,154,1.0,0.3897
180,-2.8875730941858033,0.3401391961042858,11,8,13,86.65016174316406,-0.08068321645259857,8979.157753944397,121,181,1.0,0.3986
181,0.0047951111470982966,0.3209674025454325,7,6,8,64.80009460449219,-0.06913398951292038,9091.017039060593,147,149,1.0,0.4122
182,-1.1308311338242034,-1.3784117715686361,8,6,11,78.96155548095703,-0.07696700096130371,9204.512371778488,199,114,1.0,0.4267
183,9.053794644357348,-0.5109131304287832,6,7,4,58.02845001220703,-0.0825929194688797,9317.287046909332,137,104,1.0,0.4423
184,5.632974928957483,5.018329819313597,6,8,5,73.71539306640625,-0.08046117424964905,9430.204170703888,158,142,1.0,0.4304
185,6.810160199400293,7.895413028127161,10,15,4,66.04827117919922,-0.06909020245075226,9546.143703222275,154,165,1.0,0.4756
186,2.465635599369771,-0.2892651131831559,7,8,7,66.97463989257812,-0.0678669735789299,9662.296575546265,149,105,1.0,0.4877
187,7.112794165750531,2.8365764007611345,8,10,6,66.01541137695312,-0.07746939361095428,9775.98418021202,168,134,1.0,0.525
188,0.04727665383918289,-1.0811348364569864,8,6,9,89.98400115966797,-0.08146403729915619,9888.217170238495,137,173,1.0,0.5127
189,5.422709439151935,-1.8250384096208625,6,6,7,62.72563934326172,-0.09251359850168228,10000.043616771698,131,165,1.0,0.5195
190,-1.8768544991552703,3.0221085788263746,8,7,9,90.24818420410156,-0.08763888478279114,10116.02147436142,122,169,1.0,0.5338
191,-3.092242632764413,3.8218722320046106,5,4,6,57.3393669128418,-0.08063197135925293,10232.179120779037,115,144,1.0,0.5347
192,4.117752719955291,5.393017241502783,8,10,6,66.07538604736328,-0.11097632348537445,10345.171984434128,137,158,1.5,0.5625
193,1.5841201347215441,6.912170075540236,7,8,5,69.36872863769531,-0.07753352075815201,10459.64962720871,138,178,1.5,0.5714
194,0.7216276991102639,4.200072166646636,5,5,6,62.55089569091797,-0.06926458328962326,10571.188759088516,180,151,1.5,0.5417
195,-0.9245392338038558,-5.602746526564458,8,4,12,80.7885513305664,-0.08388286083936691,10687.976543426514,160,134,1.5,0.425
196,0.9921408660382259,1.666117148756853,9,8,9,75.06706237792969,-0.06568574905395508,10803.759638786316,161,164,1.5,0.431
197,1.589669451791509,-5.2395899704505355,6,4,9,72.98698425292969,-0.084888756275177,10916.4951877594,96,173,1.5,0.4143
198,0.7767752056948872,-4.855508015766398,7,4,9,84.80987548828125,-0.07897725701332092,11028.562933683395,192,78,1.5,0.3929
199,-4.161906427816643,-4.604792616265321,4,2,6,53.48102569580078,-0.08430247008800507,11141.927961587906,98,156,1.5,0.3804
200,3.51657758645225,-0.014849593203583922,5,5,6,69.9024429321289,-0.10714663565158844,11254.323499679565,167,94,1.5,0.3922
201,-9.631337454140429,3.825960676553335,6,3,8,65.96891021728516,-0.07593096047639847,11367.094238758087,145,152,1.5,0.3772
202,-10.008522392107832,-2.8310903240091108,4,1,8,47.33069610595703,-0.09177741408348083,11478.66840004921,152,122,1.5,0.3607
203,-3.6299576058339276,-1.7746907758657524,7,4,10,56.877723693847656,-0.09111589193344116,11591.507459163666,164,155,1.5,0.3279
204,-5.575569583125438,-4.157740048285449,6,2,9,51.290611267089844,-0.07564513385295868,11703.7252202034,106,144,1.5,0.2984
205,-6.258145086428804,-2.2950292012675373,6,4,9,49.601261138916016,-0.08734443783760071,11818.935151815414,122,160,1.5,0.3083
206,-1.7795384169936783,-4.286935077457261,4,2,6,42.519168853759766,-0.1067924052476883,11929.965493679047,67,195,1.5,0.2818
207,-1.6345933551018854,0.2159530120759694,6,4,7,56.878868103027344,-0.08219168335199356,12044.991275310516,133,183,1.5,0.2818
208,8.046585058802416,1.7927115206430657,4,5,3,48.54242706298828,-0.11334770172834396,12156.655117988586,153,120,1.5,0.3077
209,-9.639493365074463,-9.008996572458296,4,0,9,42.204429626464844,-0.093286894261837,12268.122712135315,189,72,1.5,0.2885
210,-1.5204854123056626,-0.07766865564260665,6,4,8,65.52400207519531,-0.08664567768573761,12380.134181976318,172,95,1.5,0.2736
211,4.432520022960569,-5.312061971607484,4,3,4,43.21009063720703,-0.0906897485256195,12491.04654955864,77,189,1.5,0.2843
212,1.6983637753575107,-10.363201852731585,4,2,6,38.23637390136719,-0.09617705643177032,12603.07051229477,135,115,1.5,0.2941
213,-5.317404739812025,1.310147092160945,6,4,8,56.25980758666992,-0.08200611919164658,12717.429528474808,109,188,1.5,0.3
214,-4.5911804927684505,6.734413034264308,4,4,4,57.63560485839844,-0.1039050966501236,12829.341475009918,94,200,1.5,0.3333
215,-6.160518146930894,-6.6745714130814005,8,2,14,55.74448776245117,-0.07998046278953552,12944.610050678253,170,104,1.5,0.3
216,-1.163174242181688,-8.776609271799911,8,3,13,53.228431701660156,-0.07577076554298401,13059.717690944672,132,161,1.5,0.287
217,-2.055490597843909,-9.485013046405285,7,2,13,43.470733642578125,-0.08750170469284058,13174.386189699173,190,68,1.5,0.2636
218,-5.581917899293821,-3.3442281841277586,7,2,11,54.24566650390625,-0.06744275987148285,13287.063247680664,106,180,1.5,0.2241
219,-10.012230689900484,4.178897040291355,2,1,4,23.9765625,-0.10766179859638214,13397.26072883606,100,131,1.5,0.2411
220,-6.09042602872644,-0.8416716050218073,6,3,8,52.0743408203125,-0.040982767939567566,13513.148777723312,89,185,1.5,0.2321
221,-3.0333869925450765,7.339779500128794,7,7,8,86.13716888427734,-0.06466022878885269,13626.884544849396,129,153,1.5,0.2542
222,-9.227641751448044,-0.24282540423466395,6,2,9,58.127925872802734,-0.08208279311656952,13740.059916257858,187,85,1.5,0.2459
223,2.223447874312272,-2.5098805224692824,6,5,7,66.705322265625,-0.06253398954868317,13852.582802295685,148,137,1.5,0.2541
224,5.383503034856602,-1.377464072434079,6,7,6,67.21514129638672,-0.07564899325370789,13964.593214035034,158,181,1.5,0.2698
225,-0.59426981591591,-5.330597229048168,6,3,9,65.19159698486328,-0.07653960585594177,14078.677482843399,189,98,1.5,0.2869
226,-2.491728455431293,0.8619720393542109,3,3,3,63.145965576171875,-0.10725128650665283,14189.667894124985,181,38,1.5,0.3125
227,-0.40582163165210017,0.0,1,0,1,19.7069091796875,-0.09219300746917725,14299.834487199783,200,37,1.5,0.33
228,-0.4843084744772316,6.218940488528982,5,6,4,61.01679611206055,-0.08398869633674622,14412.406411886215,170,128,1.5,0.3854
229,-0.5100207526827273,1.4207568163414532,5,4,5,54.16377258300781,-0.08316657692193985,14524.668691635132,101,192,1.5,0.3922
230,7.158166821466607,2.171730613184175,4,5,3,48.210872650146484,-0.08365610986948013,14635.642967939377,185,104,1.5,0.4286
231,3.818140923179083,-2.9359068887658273,7,6,8,63.44767761230469,-0.08175618946552277,14750.751648664474,158,171,1.5,0.4184
232,-4.183566321485435,-3.614867224947861,4,2,6,33.6435546875,-0.07889563590288162,14864.350115060806,94,182,1.5,0.4362
233,8.542944039418543,2.8414174913460606,5,7,3,42.507118225097656,-0.061170220375061035,14977.289181947708,186,152,1.5,0.4674
234,-9.9774248655761,-4.093452387896088,4,2,7,55.29778289794922,-0.09762424975633621,15088.712764024734,179,134,1.5,0.4318
235,-4.370736077080025,-1.644685344409198,4,3,5,45.23633575439453,-0.09816305339336395,15200.524505376816,177,120,1.5,0.4524
